afflib 3.7.22
age 1.2.1
aom 3.13.1
aribb24 1.0.4
brotli 1.1.0
btop 1.4.5
ca-certificates 2025-09-09
cairo 1.18.4
cjson 1.7.19
codex 0.42.0
dav1d 1.5.1
exiftool 13.36
ffmpeg 8.0_1
flac 1.5.0
fontconfig 2.17.1
freetype 2.14.1_1
frei0r 2.4.0
fribidi 1.0.16
gettext 0.26
giflib 5.2.2
git 2.50.1
glib 2.86.0
gmp 6.3.0
gnupg 2.4.8
gnutls 3.8.10
graphite2 1.3.14
harfbuzz 11.5.1
highway 1.3.0
icu4c@77 77.1
imagemagick 7.1.2-3_1
imath 3.2.1
iperf3 3.19.1
jasper 4.2.8
jpeg-turbo 3.1.2
jpeg-xl 0.11.1_3
jq 1.8.1
krb5 1.22.1
lame 3.100
leptonica 1.85.0
libarchive 3.8.1
libass 0.17.4
libassuan 3.0.2
libb2 0.98.1
libbluray 1.4.0
libde265 1.0.16
libdeflate 1.24
libevent 2.1.12_1
libewf 20140816
libgcrypt 1.11.2
libgpg-error 1.55
libheif 1.20.2
libidn2 2.3.8
libksba 1.6.7
liblinear 2.49
liblqr 0.4.3
libmicrohttpd 1.0.2
libnghttp2 1.67.1
libogg 1.3.6
libomp 21.1.2
libpng 1.6.50
libpq 17.6
libraw 0.21.4
librist 0.2.11
libsamplerate 0.2.2
libsndfile 1.2.2_1
libsodium 1.0.20
libsoxr 0.1.3
libssh 0.11.3
libssh2 1.11.1
libtasn1 4.20.0
libtiff 4.7.1
libtool 2.5.4
libudfread 1.2.0
libunibreak 6.1
libunistring 1.3
libusb 1.0.29
libvidstab 1.1.1
libvmaf 3.0.0
libvorbis 1.3.7
libvpx 1.15.2
libx11 1.8.12
libxau 1.0.12
libxcb 1.17.0
libxdmcp 1.1.5
libxext 1.3.6
libxrender 0.9.12
little-cms2 2.17
lua 5.4.8
lz4 1.10.0
lzo 2.10
m4 1.4.20
mbedtls 3.6.4
mpdecimal 4.0.1
mpg123 1.33.2
nettle 3.10.2
nmap 7.98
npth 1.8
ollama 0.12.3
oniguruma 6.9.10
opencore-amr 0.1.6
openexr 3.4.0_2
openjdk 25
openjpeg 2.5.4
openjph 0.24.1
openssl@3 3.5.2
opus 1.5.2
p11-kit 0.25.10
pango 1.57.0
pcre2 10.46
pinentry 1.3.2
pinentry-mac 1.3.1.1
pipx 1.7.1_1
pixman 0.46.4
python@3.12 3.12.11
python@3.13 3.13.7
rav1e 0.8.1
readline 8.3.1
ripgrep 14.1.1
rubberband 4.0.0
sdl2 2.32.10
shared-mime-info 2.4
sleuthkit 4.14.0
snappy 1.2.2
speex 1.2.1
sqlite 3.50.4
srt 1.5.4
svt-av1 3.1.2
tesseract 5.5.1
testdisk 7.2
theora 1.2.0
unbound 1.24.0
webp 1.6.0
x264 r3222
x265 4.1
xorgproto 2024.1
xvid 1.3.7
xz 5.8.1
yq 4.47.2
zeromq 4.3.5_2
zimg 3.0.6
zstd 1.5.7
iterm2 3.6.2
libreoffice 25.8.1
obsidian 1.9.12
signal 7.72.0
